epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8101469278335571,0.17367500066757202,0.4385727345943451,1e-04,0.41320690512657166,0.35913485288619995,0.8413404822349548,0.10714145749807358,0.46146219968795776,0.0,0.0
1,0.8545858860015869,0.2197817862033844,0.35730719566345215,1e-04,0.5722110271453857,0.5050280690193176,0.8413404822349548,0.07904072105884552,0.43060770630836487,0.0,0.0
2,0.8714287281036377,0.25515201687812805,0.3210439682006836,1e-04,0.6383567452430725,0.5333601236343384,0.8392932415008545,0.09662869572639465,0.4078941345214844,0.3642122745513916,0.01658794842660427
3,0.8852632641792297,0.2897588908672333,0.2924976050853729,1e-04,0.6941394209861755,0.566683292388916,0.8473227024078369,0.17732085287570953,0.36115849018096924,0.5557044744491577,0.2313157171010971
4,0.8973661661148071,0.323323518037796,0.26710179448127747,1e-04,0.740621030330658,0.6040871143341064,0.860043466091156,0.2242390513420105,0.3342278301715851,0.619975209236145,0.33743029832839966
5,0.9089020490646362,0.35839807987213135,0.24265584349632263,1e-04,0.7845563292503357,0.6405150294303894,0.8682014346122742,0.2370779663324356,0.3187248110771179,0.684520423412323,0.33575496077537537
6,0.9204494953155518,0.39530035853385925,0.2179698497056961,1e-04,0.8263586163520813,0.6796126365661621,0.8738446235656738,0.231732577085495,0.3177809417247772,0.7646415829658508,0.30943912267684937
7,0.9307073950767517,0.430397629737854,0.19614145159721375,1e-04,0.8564615249633789,0.7230590581893921,0.8708453178405762,0.20777298510074615,0.3292905390262604,0.8237002491950989,0.24548587203025818
8,0.9377474784851074,0.46060284972190857,0.17933709919452667,1e-04,0.8752014636993408,0.7547121644020081,0.8688058257102966,0.19936075806617737,0.3408120274543762,0.8300528526306152,0.22602811455726624
9,0.9391403198242188,0.47764164209365845,0.17159360647201538,1e-04,0.8753241300582886,0.7657464146614075,0.873839259147644,0.2648719549179077,0.31689101457595825,0.710444986820221,0.36990126967430115
10,0.9362266659736633,0.47890719771385193,0.17327599227428436,1e-04,0.8670063018798828,0.7543995380401611,0.8335937261581421,0.31964442133903503,0.42465677857398987,0.4934391379356384,0.6263527870178223
11,0.9387874007225037,0.49372604489326477,0.16528531908988953,1e-04,0.874062180519104,0.7646136283874512,0.865496814250946,0.3046940565109253,0.3375391662120819,0.6084687113761902,0.48337695002555847
12,0.946947455406189,0.5276986956596375,0.14732497930526733,1e-04,0.8946583867073059,0.8009315729141235,0.8782621622085571,0.2779596149921417,0.32472845911979675,0.7450053691864014,0.37315577268600464
13,0.9513933658599854,0.5526745915412903,0.13553251326084137,1e-04,0.9050642251968384,0.8213568925857544,0.8743917942047119,0.2592523694038391,0.3471776843070984,0.7485540509223938,0.33058759570121765
14,0.9520154595375061,0.5642856955528259,0.13174961507320404,1e-05,0.9068810343742371,0.8241083025932312,0.8844810724258423,0.3260612189769745,0.29392778873443604,0.7141972780227661,0.4825969934463501
15,0.957642674446106,0.5821374654769897,0.12054391950368881,1e-05,0.9221001863479614,0.8469388484954834,0.8836119174957275,0.32707902789115906,0.29431578516960144,0.7040647268295288,0.4912583529949188
16,0.9595292806625366,0.5892183184623718,0.11676637828350067,1e-05,0.9268996119499207,0.8546819090843201,0.8826174736022949,0.32896196842193604,0.2957008183002472,0.6939671039581299,0.4992868900299072
17,0.9608882665634155,0.5951364636421204,0.1138690635561943,1e-05,0.9301859736442566,0.8604916334152222,0.8823843598365784,0.3293628990650177,0.2970244884490967,0.692274808883667,0.5000014305114746
18,0.9620445370674133,0.600568413734436,0.1113586500287056,1e-05,0.9328833818435669,0.8655335903167725,0.8821997046470642,0.32979539036750793,0.2984844148159027,0.6911264061927795,0.5002255439758301
19,0.9636322259902954,0.606559693813324,0.10815214365720749,1e-06,0.9375801682472229,0.8708148002624512,0.880137026309967,0.3372941017150879,0.29990994930267334,0.6695305109024048,0.5244044065475464
